AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Age,Complain,Education,Income,Kidhome,Marital_Status,MntFishProducts,MntFruits,MntGoldProds,MntMeatProducts,MntSweetProducts,MntWines,Month,NumCatalogPurchases,NumDealsPurchases,NumStorePurchases,NumWebPurchases,NumWebVisitsMonth,Recency,Segmento,Teenhome,Time_Customer,Year
0,0,0,0,0,40,0,Graduation,26646,1,Together,10,4,5,20,3,11,2,0,2,4,2,6,26,2,0,10.16311080994134,2014
0,0,0,0,0,78,0,Graduation,37760,0,Together,150,5,28,38,12,84,8,1,2,6,4,7,20,2,0,11.608725709631273,2012
0,0,0,0,0,39,0,Master,20559,1,Married,3,1,7,29,0,13,3,0,2,3,2,8,88,2,0,11.080309657282491,2013
0,0,0,0,0,67,0,Graduation,65486,0,Widow,37,19,14,125,67,245,5,2,1,10,4,2,29,3,1,9.913961272305386,2014
0,0,0,0,0,60,0,Master,79143,0,Married,27,37,32,780,167,650,8,9,1,13,6,3,2,1,0,11.663483849771042,2012
0,0,1,0,0,59,0,Graduation,56046,0,Together,0,0,51,64,0,577,1,1,2,8,10,8,9,3,0,11.269225240764698,2013
0,0,0,0,0,61,0,Master,38620,0,Together,34,17,89,44,22,112,5,5,1,3,2,3,56,1,0,10.91603523686318,2013
0,0,0,0,0,52,0,Graduation,51813,1,Divorced,0,2,2,7,1,51,4,0,2,3,2,7,37,2,1,10.998172447072836,2013
0,0,0,0,0,45,0,Basic,24594,1,Together,10,3,9,6,0,1,12,0,1,3,1,5,94,2,0,10.332861044374628,2013
0,0,0,0,0,46,0,Graduation,38557,1,Single,4,3,27,31,4,76,12,1,2,3,3,7,17,2,0,11.307555938862537,2012
0,0,0,0,0,62,0,Graduation,50785,1,Single,0,1,27,21,1,64,9,1,2,3,2,6,27,2,1,10.582010582010582,2013
0,0,0,0,0,71,0,Master,56129,0,Together,39,48,48,133,72,320,6,2,4,10,6,4,65,3,1,10.80651895658364,2013
0,0,0,0,0,52,0,2n Cycle,46344,0,Together,8,20,91,57,20,233,12,1,4,5,7,7,28,3,1,11.321245473897479,2012
0,0,0,0,0,66,0,Master,30523,2,Single,0,0,5,3,0,5,7,0,1,2,1,7,0,2,1,10.776401979506765,2013
0,0,0,0,0,72,0,Graduation,51537,0,Divorced,0,20,92,204,0,787,12,2,3,11,2,8,27,3,1,11.33493500893242,2012
0,0,0,0,0,54,0,Graduation,22070,1,Together,8,7,21,19,2,10,10,2,2,2,2,6,11,2,0,10.516300813842857,2013
0,0,0,0,0,68,0,Graduation,60714,0,Single,101,162,162,224,92,216,1,4,2,10,7,5,56,1,0,11.22815663565987,2013
0,0,0,0,0,50,0,Graduation,30631,1,Married,4,6,20,20,5,15,7,1,1,2,3,7,75,2,0,10.746285002429893,2013
0,0,0,0,0,52,0,Graduation,30675,1,Married,11,2,21,16,2,10,11,0,1,3,1,8,14,2,0,11.408858498121111,2012
0,0,0,0,1,125,0,PhD,83532,0,Together,104,144,224,562,64,755,9,6,1,4,4,1,36,1,0,10.538204069898766,2013
0,0,0,1,0,69,0,Graduation,50737,0,Married,0,0,10,11,0,78,5,0,1,4,2,6,61,2,1,10.91603523686318,2013
0,0,0,0,0,81,1,Master,65073,0,Married,69,17,8,177,0,629,8,3,1,5,5,2,65,1,0,10.63950662915734,2013
0,0,0,0,0,49,0,Master,46098,1,Single,0,0,36,27,0,57,8,2,4,2,3,8,86,2,1,11.644318500722123,2012
0,0,0,0,0,64,0,Graduation,63381,0,Together,33,50,159,142,50,571,10,5,4,13,4,2,78,3,1,11.512898964386675,2012
0,0,0,0,0,52,0,PhD,27213,1,Single,10,3,3,26,9,19,8,0,3,4,2,8,19,2,0,11.611463616638261,2012
1,0,0,1,0,35,0,Graduation,75433,1,Married,0,0,57,297,34,800,4,5,2,10,2,6,28,1,0,10.015263831563962,2014
0,0,0,0,0,35,0,2n Cycle,10404,1,Together,10,2,12,11,6,2,5,0,2,4,1,5,52,2,0,9.935864528361295,2014
0,0,0,0,0,35,0,Graduation,28691,1,Married,8,4,4,13,0,5,7,0,1,3,1,8,56,2,0,10.7681882584858,2013
0,0,0,0,0,48,0,Graduation,65991,0,Married,25,19,9,364,47,507,9,5,3,10,9,7,21,3,1,11.589560360582352,2012
0,0,0,0,0,54,0,Graduation,31880,1,Widow,2,1,3,5,0,4,10,0,1,2,1,8,13,2,0,11.441713382204973,2012
0,0,0,0,0,60,0,Graduation,85620,0,Widow,60,46,46,925,107,416,1,6,1,4,3,1,68,1,0,10.25619964817895,2014
0,0,0,0,0,56,0,PhD,38443,1,Married,0,0,1,5,0,32,1,0,2,3,1,7,58,2,1,10.20144150803918,2014
0,0,0,0,0,58,0,Master,49618,1,Together,4,3,14,26,2,80,1,1,4,3,3,7,77,2,1,11.203515472596973,2013
0,0,0,0,0,59,0,Master,55250,0,Single,32,58,66,83,0,664,10,5,4,10,7,5,49,3,1,11.46909245227486,2012
0,0,0,0,0,73,0,PhD,78939,0,Married,150,115,205,243,0,794,12,5,1,6,8,3,57,1,0,10.327385230360651,2013
0,0,0,0,0,54,0,Graduation,20587,1,Single,4,3,9,6,1,2,5,1,1,2,1,7,39,2,0,9.916699179312374,2014
0,0,0,0,0,68,0,Graduation,71391,0,Married,46,123,141,274,123,336,3,5,5,12,6,3,50,3,1,11.033765238163685,2013
0,0,0,0,0,36,0,Graduation,34176,1,Single,19,7,20,24,14,5,5,0,4,4,3,6,12,2,0,9.913961272305386,2014
1,0,1,0,0,67,0,2n Cycle,82347,0,Married,202,54,63,845,133,556,11,7,1,10,7,3,38,1,0,11.425285940163043,2012
0,0,1,0,0,58,0,PhD,30843,1,Together,0,0,9,2,0,24,5,1,2,2,1,5,43,2,1,9.875630574207547,2014
0,0,0,0,1,35,0,2n Cycle,85710,0,Married,29,20,33,350,30,600,5,9,1,10,6,2,5,1,0,10.932462678905111,2013
0,0,0,0,0,68,0,Master,86424,0,Single,89,68,68,569,45,387,4,9,1,12,6,1,12,1,0,10.015263831563962,2014
0,0,0,0,0,43,0,2n Cycle,51111,1,Married,6,0,3,19,5,22,6,0,2,3,2,6,83,2,1,9.809920806039823,2014
0,0,0,0,0,59,0,Graduation,59754,0,Married,4,27,139,44,146,115,12,2,3,6,5,5,96,3,1,11.35683826498833,2012
0,0,0,0,0,51,0,Graduation,59041,1,Married,2,2,6,15,2,69,5,0,2,4,2,5,25,2,1,9.92765080734033,2014
